,Dia,Euribor,precio_m2_Barcelona,precio_m2_Bilbao,precio_m2_Madrid,precio_m2_Sevilla,precio_m2_Valencia,IBEX35
0,20060102,2.855,,3207.0,3586.0,,,
1,20060103,2.861,,3207.0,3586.0,,,
2,20060104,2.829,,3207.0,3586.0,,,
3,20060105,2.79,,3207.0,3586.0,,,
4,20060106,2.773,,3207.0,3586.0,,,
5,20060109,2.771,,3207.0,3586.0,,,
6,20060110,2.806,,3207.0,3586.0,,,
7,20060111,2.832,,3207.0,3586.0,,,
8,20060112,2.847,,3207.0,3586.0,,,
9,20060113,2.818,,3207.0,3586.0,,,
10,20060116,2.816,,3207.0,3586.0,,,
11,20060117,2.805,,3207.0,3586.0,,,
12,20060118,2.782,,3207.0,3586.0,,,
13,20060119,2.83,,3207.0,3586.0,,,
14,20060120,2.839,,3207.0,3586.0,,,
15,20060123,2.838,,3207.0,3586.0,,,
16,20060124,2.853,,3207.0,3586.0,,,
17,20060125,2.864,,3207.0,3586.0,,,
18,20060126,2.86,,3207.0,3586.0,,,
19,20060127,2.874,,3207.0,3586.0,,,
20,20060130,2.89,,3207.0,3586.0,,,
21,20060201,2.9,4240.0,,,2433.0,2295.0,
22,20060202,2.916,4240.0,,,2433.0,2295.0,
23,20060203,2.914,4240.0,,,2433.0,2295.0,
24,20060206,2.909,4240.0,,,2433.0,2295.0,
25,20060207,2.908,4240.0,,,2433.0,2295.0,
26,20060208,2.906,4240.0,,,2433.0,2295.0,
27,20060209,2.913,4240.0,,,2433.0,2295.0,
28,20060210,2.901,4240.0,,,2433.0,2295.0,
29,20060213,2.907,4240.0,,,2433.0,2295.0,
30,20060214,2.899,4240.0,,,2433.0,2295.0,
31,20060215,2.897,4240.0,,,2433.0,2295.0,
32,20060216,2.905,4240.0,,,2433.0,2295.0,
33,20060217,2.895,4240.0,,,2433.0,2295.0,
34,20060220,2.88,4240.0,,,2433.0,2295.0,
35,20060221,2.881,4240.0,,,2433.0,2295.0,
36,20060222,2.912,4240.0,,,2433.0,2295.0,
37,20060223,2.938,4240.0,,,2433.0,2295.0,
38,20060224,2.956,4240.0,,,2433.0,2295.0,
39,20060227,2.965,4240.0,,,2433.0,2295.0,
40,20060301,2.991,,3207.0,3586.0,,,
41,20060302,2.995,,3207.0,3586.0,,,
42,20060303,3.045,,3207.0,3586.0,,,
43,20060306,3.048,,3207.0,3586.0,,,
44,20060307,3.061,,3207.0,3586.0,,,
45,20060308,3.056,,3207.0,3586.0,,,
46,20060309,3.065,,3207.0,3586.0,,,
47,20060310,3.07,,3207.0,3586.0,,,
48,20060313,3.085,,3207.0,3586.0,,,
49,20060314,3.092,,3207.0,3586.0,,,
50,20060315,3.087,,3207.0,3586.0,,,
51,20060316,3.093,,3207.0,3586.0,,,
52,20060317,3.095,,3207.0,3586.0,,,
53,20060320,3.134,,3207.0,3586.0,,,
54,20060321,3.138,,3207.0,3586.0,,,
55,20060322,3.137,,3207.0,3586.0,,,
56,20060323,3.129,,3207.0,3586.0,,,
57,20060324,3.135,,3207.0,3586.0,,,
58,20060327,3.119,,3207.0,3586.0,,,
59,20060328,3.171,,3207.0,3586.0,,,
60,20060329,3.215,,3207.0,3586.0,,,
61,20060330,3.229,,3207.0,3586.0,,,
62,20060403,3.254,4240.0,,3431.0,2433.0,2295.0,
63,20060404,3.264,4240.0,,3431.0,2433.0,2295.0,
64,20060405,3.26,4240.0,,3431.0,2433.0,2295.0,
65,20060406,3.26,4240.0,,3431.0,2433.0,2295.0,
66,20060407,3.159,4240.0,,3431.0,2433.0,2295.0,
67,20060410,3.171,4240.0,,3431.0,2433.0,2295.0,
68,20060411,3.171,4240.0,,3431.0,2433.0,2295.0,
69,20060412,3.173,4240.0,,3431.0,2433.0,2295.0,
70,20060413,3.185,4240.0,,3431.0,2433.0,2295.0,
71,20060418,3.194,4240.0,,3431.0,2433.0,2295.0,
72,20060419,3.185,4240.0,,3431.0,2433.0,2295.0,
73,20060420,3.2,4240.0,,3431.0,2433.0,2295.0,
74,20060421,3.198,4240.0,,3431.0,2433.0,2295.0,
75,20060424,3.19,4240.0,,3431.0,2433.0,2295.0,
76,20060425,3.221,4240.0,,3431.0,2433.0,2295.0,
77,20060426,3.277,4240.0,,3431.0,2433.0,2295.0,
78,20060427,3.306,4240.0,,3431.0,2433.0,2295.0,
79,20060428,3.318,4240.0,,3431.0,2433.0,2295.0,
80,20060502,3.314,,3207.0,3550.0,,,
81,20060503,3.317,,3207.0,3550.0,,,
82,20060504,3.301,,3207.0,3550.0,,,
83,20060505,3.321,,3207.0,3550.0,,,
84,20060508,3.313,,3207.0,3550.0,,,
85,20060509,3.332,,3207.0,3550.0,,,
86,20060510,3.352,,3207.0,3550.0,,,
87,20060511,3.344,,3207.0,3550.0,,,
88,20060512,3.364,,3207.0,3550.0,,,
89,20060515,3.319,,3207.0,3550.0,,,
90,20060516,3.301,,3207.0,3550.0,,,
91,20060517,3.293,,3207.0,3550.0,,,
92,20060518,3.3,,3207.0,3550.0,,,
93,20060519,3.304,,3207.0,3550.0,,,
94,20060522,3.284,,3207.0,3550.0,,,
95,20060523,3.285,,3207.0,3550.0,,,
96,20060524,3.288,,3207.0,3550.0,,,
97,20060525,3.272,,3207.0,3550.0,,,
98,20060526,3.278,,3207.0,3550.0,,,
99,20060529,3.286,,3207.0,3550.0,,,
100,20060530,3.291,,3207.0,3550.0,,,
101,20060601,3.369,4240.0,,3473.0,2433.0,2295.0,
102,20060602,3.368,4240.0,,3473.0,2433.0,2295.0,
103,20060605,3.357,4240.0,,3473.0,2433.0,2295.0,
104,20060606,3.396,4240.0,,3473.0,2433.0,2295.0,
105,20060607,3.397,4240.0,,3473.0,2433.0,2295.0,
106,20060608,3.386,4240.0,,3473.0,2433.0,2295.0,
107,20060609,3.336,4240.0,,3473.0,2433.0,2295.0,
108,20060612,3.326,4240.0,,3473.0,2433.0,2295.0,
109,20060613,3.294,4240.0,,3473.0,2433.0,2295.0,
110,20060614,3.324,4240.0,,3473.0,2433.0,2295.0,
111,20060615,3.349,4240.0,,3473.0,2433.0,2295.0,
112,20060616,3.354,4240.0,,3473.0,2433.0,2295.0,
113,20060619,3.37,4240.0,,3473.0,2433.0,2295.0,
114,20060620,3.377,4240.0,,3473.0,2433.0,2295.0,
115,20060621,3.416,4240.0,,3473.0,2433.0,2295.0,
116,20060622,3.427,4240.0,,3473.0,2433.0,2295.0,
117,20060623,3.437,4240.0,,3473.0,2433.0,2295.0,
118,20060626,3.458,4240.0,,3473.0,2433.0,2295.0,
119,20060627,3.52,4240.0,,3473.0,2433.0,2295.0,
120,20060628,3.521,4240.0,,3473.0,2433.0,2295.0,
121,20060629,3.518,4240.0,,3473.0,2433.0,2295.0,
122,20060703,3.507,,3207.0,3488.0,,,
123,20060704,3.506,,3207.0,3488.0,,,
124,20060705,3.532,,3207.0,3488.0,,,
125,20060706,3.542,,3207.0,3488.0,,,
126,20060707,3.559,,3207.0,3488.0,,,
127,20060710,3.561,,3207.0,3488.0,,,
128,20060711,3.552,,3207.0,3488.0,,,
129,20060712,3.564,,3207.0,3488.0,,,
130,20060713,3.551,,3207.0,3488.0,,,
131,20060714,3.525,,3207.0,3488.0,,,
132,20060717,3.511,,3207.0,3488.0,,,
133,20060718,3.526,,3207.0,3488.0,,,
134,20060719,3.555,,3207.0,3488.0,,,
135,20060720,3.551,,3207.0,3488.0,,,
136,20060721,3.531,,3207.0,3488.0,,,
137,20060724,3.537,,3207.0,3488.0,,,
138,20060725,3.525,,3207.0,3488.0,,,
139,20060726,3.544,,3207.0,3488.0,,,
140,20060727,3.535,,3207.0,3488.0,,,
141,20060728,3.551,,3207.0,3488.0,,,
142,20060801,3.542,4240.0,,3477.0,2433.0,2295.0,
143,20060802,3.534,4240.0,,3477.0,2433.0,2295.0,
144,20060803,3.546,4240.0,,3477.0,2433.0,2295.0,
145,20060804,3.603,4240.0,,3477.0,2433.0,2295.0,
146,20060807,3.589,4240.0,,3477.0,2433.0,2295.0,
147,20060808,3.589,4240.0,,3477.0,2433.0,2295.0,
148,20060809,3.599,4240.0,,3477.0,2433.0,2295.0,
149,20060810,3.588,4240.0,,3477.0,2433.0,2295.0,
150,20060811,3.619,4240.0,,3477.0,2433.0,2295.0,
151,20060814,3.651,4240.0,,3477.0,2433.0,2295.0,
152,20060815,3.657,4240.0,,3477.0,2433.0,2295.0,
153,20060816,3.657,4240.0,,3477.0,2433.0,2295.0,
154,20060817,3.659,4240.0,,3477.0,2433.0,2295.0,
155,20060818,3.675,4240.0,,3477.0,2433.0,2295.0,
156,20060821,3.657,4240.0,,3477.0,2433.0,2295.0,
157,20060822,3.657,4240.0,,3477.0,2433.0,2295.0,
158,20060823,3.608,4240.0,,3477.0,2433.0,2295.0,
159,20060824,3.633,4240.0,,3477.0,2433.0,2295.0,
160,20060825,3.611,4240.0,,3477.0,2433.0,2295.0,
161,20060828,3.605,4240.0,,3477.0,2433.0,2295.0,
162,20060829,3.624,4240.0,,3477.0,2433.0,2295.0,
163,20060830,3.62,4240.0,,3477.0,2433.0,2295.0,
164,20060901,3.636,,3207.0,3458.0,,,
165,20060904,3.649,,3207.0,3458.0,,,
166,20060905,3.661,,3207.0,3458.0,,,
167,20060906,3.685,,3207.0,3458.0,,,
168,20060907,3.704,,3207.0,3458.0,,,
169,20060908,3.703,,3207.0,3458.0,,,
170,20060911,3.73,,3207.0,3458.0,,,
171,20060912,3.755,,3207.0,3458.0,,,
172,20060913,3.746,,3207.0,3458.0,,,
173,20060914,3.751,,3207.0,3458.0,,,
174,20060915,3.758,,3207.0,3458.0,,,
175,20060918,3.756,,3207.0,3458.0,,,
176,20060919,3.765,,3207.0,3458.0,,,
177,20060920,3.751,,3207.0,3458.0,,,
178,20060921,3.763,,3207.0,3458.0,,,
179,20060922,3.725,,3207.0,3458.0,,,
180,20060925,3.671,,3207.0,3458.0,,,
181,20060926,3.676,,3207.0,3458.0,,,
182,20060927,3.706,,3207.0,3458.0,,,
183,20060928,3.715,,3207.0,3458.0,,,
184,20060929,3.716,,3207.0,3458.0,,,
185,20061002,3.748,4240.0,,3359.0,2433.0,2295.0,
186,20061003,3.735,4240.0,,3359.0,2433.0,2295.0,
187,20061004,3.757,4240.0,,3359.0,2433.0,2295.0,
188,20061005,3.745,4240.0,,3359.0,2433.0,2295.0,
189,20061006,3.725,4240.0,,3359.0,2433.0,2295.0,
190,20061009,3.762,4240.0,,3359.0,2433.0,2295.0,
191,20061010,3.772,4240.0,,3359.0,2433.0,2295.0,
192,20061011,3.793,4240.0,,3359.0,2433.0,2295.0,
193,20061012,3.812,4240.0,,3359.0,2433.0,2295.0,
194,20061013,3.794,4240.0,,3359.0,2433.0,2295.0,
195,20061016,3.801,4240.0,,3359.0,2433.0,2295.0,
196,20061017,3.796,4240.0,,3359.0,2433.0,2295.0,
197,20061018,3.801,4240.0,,3359.0,2433.0,2295.0,
198,20061019,3.787,4240.0,,3359.0,2433.0,2295.0,
199,20061020,3.795,4240.0,,3359.0,2433.0,2295.0,
200,20061023,3.825,4240.0,,3359.0,2433.0,2295.0,
201,20061024,3.835,4240.0,,3359.0,2433.0,2295.0,
202,20061025,3.855,4240.0,,3359.0,2433.0,2295.0,
203,20061026,3.861,4240.0,,3359.0,2433.0,2295.0,
204,20061027,3.866,4240.0,,3359.0,2433.0,2295.0,
205,20061030,3.856,4240.0,,3359.0,2433.0,2295.0,
206,20061101,3.832,,3207.0,3491.0,,,
207,20061102,3.828,,3207.0,3491.0,,,
208,20061103,3.84,,3207.0,3491.0,,,
209,20061106,3.879,,3207.0,3491.0,,,
210,20061107,3.881,,3207.0,3491.0,,,
211,20061108,3.878,,3207.0,3491.0,,,
212,20061109,3.909,,3207.0,3491.0,,,
213,20061110,3.877,,3207.0,3491.0,,,
214,20061113,3.857,,3207.0,3491.0,,,
215,20061114,3.885,,3207.0,3491.0,,,
216,20061115,3.875,,3207.0,3491.0,,,
217,20061116,3.884,,3207.0,3491.0,,,
218,20061117,3.894,,3207.0,3491.0,,,
219,20061120,3.851,,3207.0,3491.0,,,
220,20061121,3.841,,3207.0,3491.0,,,
221,20061122,3.854,,3207.0,3491.0,,,
222,20061123,3.87,,3207.0,3491.0,,,
223,20061124,3.859,,3207.0,3491.0,,,
224,20061127,3.859,,3207.0,3491.0,,,
225,20061128,3.845,,3207.0,3491.0,,,
